Porifera			
			
	Lindiidae		
		Lindia	
		Lindia	janickii
		Lindia	torulosa
	Notommatidae		
		Tetrasiphon	
		Tetrasiphon	hydrocora
		Enteroplea	
		Enteroplea	lacustris
		Scaridium	
		Scaridium	longicaudum
		Monommata	
		Monommata	actices
		Monommata	aequalis
		Monommata	astia
		Monommata	grandis
		Monommata	longiseta
		Dorystoma	
		Dorystoma	caudata
		Itura	
		Itura	aurita
		Itura	viridis
		Taphrocampa	
		Taphrocampa	annulosa
		Taphrocampa	clavigera
		Taphrocampa	selenura
		Eothinia	
		Eothinia	elongata
		Eosphora	
		Eosphora	ehrenbergi
		Eosphora	najas
		Resticula	
		Resticula	melandocus
		Notommata	
		Notommata	allantois
		Notommata	aurita
		Notommata	brachyota
		Notommata	cerberus
		Notommata	collaris
		Notommata	contorta
		Notommata	copeus
		Notommata	cyrtopus
		Notommata	groenlandica
		Notommata	pachyura
		Notommata	pseudocerberus
		Notommata	saccigera
		Notommata	silpha
		Notommata	tripus
		Pleurotrocha	
		Pleurotrocha	constricta
		Pleurotrocha	petromycon
		Metadiaschiza	
		Metadiaschiza	trigona
		Cephalodella	
		Cephalodella	auriculata
		Cephalodella	biungulata
		Cephalodella	catellina
		Cephalodella	crassipes
		Cephalodella	derbyi
		Cephalodella	eva
		Cephalodella	exigua
		Cephalodella	forficata
		Cephalodella	forficula
		Cephalodella	gibba
		Cephalodella	globata
		Cephalodella	gracilis
		Cephalodella	hoodi
		Cephalodella	megalocephala
		Cephalodella	obvia
		Cephalodella	sterea
		Cephalodella	strigosa
		Cephalodella	tenuior
		Cephalodella	tenuiseta
		Cephalodella	ventripes
	Trichocercidae		
		Trichocerca	
		Trichocerca (Diurella)	
		Trichocerca (Diurella)	bidens
		Trichocerca (Diurella)	birostris
		Trichocerca (Diurella)	brachyura
		Trichocerca (Diurella)	cavia
		Trichocerca (Diurella)	collaris
		Trichocerca (Diurella)	dixon-nuttalli
		Trichocerca (Diurella)	inermis
		Trichocerca (Diurella)	intermedia
		Trichocerca (Diurella)	porcellus
		Trichocerca (Diurella)	rousseleti
		Trichocerca (Diurella)	similis
		Trichocerca (Diurella)	sulcata
		Trichocerca (Diurella)	tenuior
		Trichocerca (Diurella)	tigris
		Trichocerca (Diurella)	weberi
		Trichocerca (Trichocerca)	
		Trichocerca (Trichocerca)	bicristata
		Trichocerca (Trichocerca)	capucina
		Trichocerca (Trichocerca)	cylindrica
		Trichocerca (Trichocerca)	elongata
		Trichocerca (Trichocerca)	iernis
		Trichocerca (Trichocerca)	jenningsi
		Trichocerca (Trichocerca)	longiseta
		Trichocerca (Trichocerca)	lophoessa
		Trichocerca (Trichocerca)	macera
		Trichocerca (Trichocerca)	marina
		Trichocerca (Trichocerca)	pusilla
		Trichocerca (Trichocerca)	rattus
		Trichocerca (Trichocerca)	stylata
		Ascomorphella	
		Ascomorphella	volvocicola
		Elosa	
		Elosa	woralli
	Gastropodidae		
		Gastropus	
		Gastropus	hyptopus
		Gastropus	minor
		Gastropus	stylifer
		Ascomorpha	
