genus	species
Cercyon (Cercyon)	lateralis
Cercyon (Cercyon)	littoralis
Cercyon (Cercyon)	marinus
Cercyon (Cercyon)	melanocephalus
Cercyon (Cercyon)	nigriceps
Cercyon (Cercyon)	obsoletus
Cercyon (Cercyon)	pygmaeus
Cercyon (Cercyon)	quisquilius
Cercyon (Cercyon)	sternalis
Cercyon (Cercyon)	terminatus
Cercyon (Cercyon)	tristis
Cercyon (Cercyon)	unipunctatus
Cercyon (Dicyrtocercyon)	ustulatus
Cercyon (Paracercyon)	analis
Ceriagrion	tenellum
Ceriodaphnia 	dubia
Ceriodaphnia 	laticaudata
Ceriodaphnia 	megops
Ceriodaphnia 	pulchella
Ceriodaphnia 	quadrangula
Ceriodaphnia 	reticulata
Ceriodaphnia 	setosa
Cernosvitoviella	atrata
Cernosvitoviella	immota
Chaenusa	conjugens
Chaenusa	limoniadum
Chaenusa	naiadum
Chaenusa	nereidum
Chaetarthria	seminulum
Chaetarthria	simillima
Chaetocladius	dentiforceps
Chaetocladius	dissipatus
Chaetocladius	insolitus
Chaetocladius	melaleucus
Chaetocladius	perennis
Chaetocladius	piger
Chaetocladius	suecicus
Chaetogaster	cristallinus
Chaetogaster	diaphanus
Chaetogaster	diastrophus
Chaetogaster	langi
Chaetogaster	limnaei
Chaetonotus	maximus
Chaetonotus	schultzei
Chaetonotus	simrothi
Chaetonotus	slackiae
Chaetonotus	zelinkai
Chaetopteryx	villosa
Chaetosa	punctipes
Chalcis	biguttata
Chalcis	myrifex
Chalcis	sispes
Chaoborus (Chaoborus)	crystallinus
Chaoborus (Chaoborus)	flavicans
Chaoborus (Chaoborus)	obscuripes
Chaoborus (Peusomyia)	pallidus
Cheilotrichia (Cheilotrichia)	imbuta
Cheilotrichia (Empeda)	cinerascens
Chelifera	angusta
Chelifera	aperticauda
Chelifera	astigma
Chelifera	concinnicauda
Chelifera	diversicauda
Chelifera	flavella
Chelifera	monostigma
Chelifera	pectinicauda
Chelifera	precabunda
Chelifera	precatoria
Chelifera	stigmatica
Chelifera	subangusta
Chelifera	trapezina
Chelipoda	albiseta
Chelipoda	vocatoria
Chelomideopsis	annemiae
Cheumatopsyche	lepida
Chimarra	marginata
Chirocephalus	diaphanus
Chironomus (Camptochironomus)	pallidivittatus
Chironomus (Camptochironomus)	tentans
Chironomus (Chaetolabis)	macani
Chironomus (Chironomus)	annularius
Chironomus (Chironomus)	anthracinus
Chironomus (Chironomus)	aprilinus
Chironomus (Chironomus)	cingulatus
Chironomus (Chironomus)	crassimanus
Chironomus (Chironomus)	dorsalis
Chironomus (Chironomus)	entis
Chironomus (Chironomus)	holomelas
Chironomus (Chironomus)	inermifrons
Chironomus (Chironomus)	lacunaris
Chironomus (Chironomus)	longistylus
Chironomus (Chironomus)	lugubris
Chironomus (Chironomus)	luridus
Chironomus (Chironomus)	nuditarsis
Chironomus (Chironomus)	nudiventris
Chironomus (Chironomus)	obtusidens
Chironomus (Chironomus)	piger
Chironomus (Chironomus)	pilicornis
Chironomus (Chironomus)	plumosus
Chironomus (Chironomus)	prasinus
Chironomus (Chironomus)	pseudothummi
Chironomus (Chironomus)	riparius
Chironomus (Chironomus)	salinarius
Chironomus (Chironomus)	strenzkei
Chironomus (Chironomus)	striatus
Chironomus (Chironomus)	venustus
Chironomus (Lobochironomus)	carbonarius
Chironomus (Lobochironomus)	dissidens
Chironomus (Lobochironomus)	dorsalis
Chloroperla	group
Chloroperla	tripunctata
Chorebus	longicornis
Chorebus	striola
Chorebus	uliginosus
Chromadorita	bioculata
Chromadorita	leuckarti
Chrysogaster	cemiteriorum
Chrysogaster	group
Chrysogaster	solstitialis
Chrysogaster	virescens
Chrysophilus	cristatus
Chrysophilus	erythrophthalmus
Chrysops	caecutiens
Chrysops	relictus
Chrysops	sepulcralis
Chrysops	viduatus
Chrysotus	angulicornis
Chrysotus	cilipes
Chrysotus	gramineus
Chrysotus	monochaetus
Chrysotus	suavis
Chydorus 	gibbus
Chydorus 	latus
Chydorus 	ovalis
Chydorus 	sphaericus
Cionus	alauda
Cionus	hortulanus
Cionus	scrophulariae
Cladopelma	bicarinatum
Cladopelma	edwardsi
Cladopelma	goetghebueri
Cladopelma	krusemani
Cladopelma	virescens
Cladopelma	viridulum
Cladotanytarsus	atridorsum
Cladotanytarsus	difficilis
Cladotanytarsus	dispersopilosus
Cladotanytarsus	iucundus
Cladotanytarsus	lepidocalcar
Cladotanytarsus	mancus
Cladotanytarsus	molestus
Cladotanytarsus	nigrovittatus
Cladotanytarsus	vanderwulpi
Clavellisa	emarginata
Cleopus	pulchellus
Clinocera	fontinalis
Clinocera	nigra
Clinocera	nivalis
Clinocera	stagnalis
Clinocera	wesmaeli
Clinohelea	unimaculata
Clinotanypus	nervosus
Clitellio	arenarius
Cloeon	dipterum
Cloeon	simile
Coelinius	podagrica
Coelostoma	orbiculare
Coenagrion	armatum
Coenagrion	hastulatum
Coenagrion	lunulatum
Coenagrion	mercuriale
Coenagrion	puella
Coenagrion	puella group
Coenagrion	pulchellum
Coenagrion	scitulum
Coenia	curvicauda
Coenia	palustris
Cognettia	cognetti
Cognettia	glandulosa
Cognettia	sphagnetorum
Collotheca	ambigua
Collotheca	annulata
Collotheca	calva
Collotheca	campanulata
Collotheca	coronetta
Collotheca	crateriformis
Collotheca	cucullata
Collotheca	edentata
Collotheca	gossei
Collotheca	heptabrachiata
Collotheca	hoodi
Collotheca	libera
Collotheca	minuta
Collotheca	mira
Collotheca	moseli
Collotheca	mutabilis
Collotheca	ornata
Collotheca	pelagica
Collotheca	quadrilobata
Collotheca	quadrinodosa
Collotheca	sessilis
Collotheca	spinata
Collotheca	stephanochaeta
Collotheca	tenuilobata
Collotheca	torquilobata
Collotheca	trifidlobata
Collotheca	trilobata
Colobaea	bifasciella
Colobaea	distincta
Colobaea	pectoralis
Colobaea	punctata
Columella	edentula
Colurella	adriatica
Colurella	colurus
Colurella	dicentra
Colurella	hindenburgi
Colurella	obtusa
Colurella	sinistra
Colurella	tessellata
Colurella	uncinata
Colymbetes	fuscus
Conchapelopia	aagardi
Conchapelopia	hittmairorum
Conchapelopia	melanops
Conchapelopia	pallidula
Conchapelopia	triannulata
Conchapelopia	viator
Conisternum	obscurum
Conochiloides	dossuarius
Conochiloides	natans
Conochilus	hippocrepis
Conochilus	unicornis
Coquillettidia	richiardii
Corbicula	fluminea
Cordulegaster	boltonii
Cordulia	aenea
Cordylophora	caspia
Corixa	affinis
Corixa	dentipes
Corixa	iberica
Corixa	panzeri
Corixa	punctata
Coronatella	rectangula
Corophium	curvispinum
Corophium	insidiosum
Corophium	lacustre
Corophium	multisetosum
Corophium	multisetosum group
Corophium	volutator
Corynocera	ambigua
Corynoneura	arctica
Corynoneura	carriana
Corynoneura	celeripes
Corynoneura	celtica
Corynoneura	coronata
Corynoneura	edwardsi
Corynoneura	fittkaui
Corynoneura	gratias
Corynoneura	lacustris
Corynoneura	lobata
Corynoneura	scutellata
Corynoneurella	paludosa
Crangon	crangon
Crangonyx	pseudogracilis
Crangonyx	subterraneus
Craspedacusta	sowerbii
Crenobia	alpina
Cricotopus	group
Cricotopus (Cricotopus)	albiforceps
Cricotopus (Cricotopus)	annulator
Cricotopus (Cricotopus)	bicinctus
Cricotopus (Cricotopus)	caducus
Cricotopus (Cricotopus)	curtus
Cricotopus (Cricotopus)	cylindraceus
Cricotopus (Cricotopus)	ephippium
Cricotopus (Cricotopus)	festivellus
Cricotopus (Cricotopus)	flavocinctus
Cricotopus (Cricotopus)	fuscus
Cricotopus (Cricotopus)	pallidipes
Cricotopus (Cricotopus)	pilosellus
Cricotopus (Cricotopus)	polaris
Cricotopus (Cricotopus)	pulchripes
Cricotopus (Cricotopus)	similis
Cricotopus (Cricotopus)	tibialis
Cricotopus (Cricotopus)	tremulus
Cricotopus (Cricotopus)	triannulatus
Cricotopus (Cricotopus)	trifascia
Cricotopus (Cricotopus)	tristis
Cricotopus (Cricotopus)	vierriensis
Cricotopus (Isocladius)	arcuatus
Cricotopus (Isocladius)	brevipalpis
Cricotopus (Isocladius)	intersectus
Cricotopus (Isocladius)	laricomalis
Cricotopus (Isocladius)	obnixus
Cricotopus (Isocladius)	ornatus
Cricotopus (Isocladius)	pilitarsis
Cricotopus (Isocladius)	reversus
Cricotopus (Isocladius)	speciosus
Cricotopus (Isocladius)	sylvestris
Cricotopus (Isocladius)	tricinctus
Cricotopus (Isocladius)	trifasciatus
Cricotopus (Nostococladius)	lygropis
Cristatella	mucedo
Crocothemis	erythraea
Crunoecia	irrorata
Crypteria	limnophiloides
Cryptochironomus	albofasciatus
Cryptochironomus	defectus
Cryptochironomus	denticulatus
Cryptochironomus	obreptans
Cryptochironomus	psittacinus
Cryptochironomus	redekei
Cryptochironomus	rostratus
Cryptochironomus	supplicans
Cryptocyclops	bicolor
Cryptopleurum	crenatum
Cryptopleurum	minutum
Cryptopleurum	subtile
Cryptotendipes	holsatus
Cryptotendipes	nigronitens
Cryptotendipes	pflugfelderi
Cryptotendipes	pseudotener
Cryptotendipes	usmaensis
Culex (Barraudius)	modestus
Culex (Culex)	pipiens
Culex (Culex)	torrentium
Culex (Neoculex)	territans
Culicoides (Avaritia)	chiopterus
Culicoides (Avaritia)	dewulfi
Culicoides (Avaritia)	obsoletus
Culicoides (Avaritia)	scoticus
Culicoides (Beltranmyia)	circumscriptus
Culicoides (Beltranmyia)	manchuriensis
Culicoides (Beltranmyia)	salinarius
Culicoides (Culicoides)	delta
Culicoides (Culicoides)	fagineus
Culicoides (Culicoides)	grisescens
Culicoides (Culicoides)	impunctatus
Culicoides (Culicoides)	newsteadi
Culicoides (Culicoides)	pulicaris
Culicoides (Culicoides)	punctatus
Culicoides (Monoculicoides)	nubeculosus
Culicoides (Monoculicoides)	parroti
Culicoides (Monoculicoides)	puncticollis
Culicoides (Monoculicoides)	riethi
Culicoides (Monoculicoides)	stigma
Culicoides (Oecacta)	alazanicus
Culicoides (Oecacta)	albicans
Culicoides (Oecacta)	brunnicans
Culicoides (Oecacta)	cameroni
Culicoides (Oecacta)	cataneii
Culicoides (Oecacta)	clastrieri
Culicoides (Oecacta)	clintoni
Culicoides (Oecacta)	duddingstoni
Culicoides (Oecacta)	festivipennis
Culicoides (Oecacta)	furcillatus
Culicoides (Oecacta)	griseidorsum
Culicoides (Oecacta)	heliophilus
Culicoides (Oecacta)	kibunensis
Culicoides (Oecacta)	maritimus
Culicoides (Oecacta)	minutissimus
Culicoides (Oecacta)	poperinghensis
Culicoides (Oecacta)	reconditus
Culicoides (Oecacta)	segnis
Culicoides (Oecacta)	simulator
Culicoides (Oecacta)	tbilisicus
Culicoides (Oecacta)	vexans
Culicoides (Silvaticulicoides)	achrayi
Culicoides (Silvaticulicoides)	fascipennis
Culicoides (Silvaticulicoides)	pallidicornis
Culicoides (Silvaticulicoides)	picturatus
Culicoides (Silvaticulicoides)	subfasciipennis
Culiseta (Allotheobaldia)	longiareolata
Culiseta (Culicella)	fumipennis
Culiseta (Culicella)	litorea
